product_id,product_code,barcode,source_barcode_id,note,relationship,documented_primary,barcode_count_for_product
0595659f-b862-4228-bc75-c5a557cceb96,6920191312178CB,6920191312178,169906,,sole_known_code,,1
250ee63e-e059-4868-b1a4-ca1f393af612,6194043001286CB,6194043001286,139113,,sole_known_code,,1
b5d54caf-5fa9-4af1-a99a-cb6579110cd5,9240223489010CB,9240223489010,175409,,sole_known_code,,1
19fffcaf-5342-4f31-849e-cd23f06cb3df,S50_,6221048408243,86302,,alias_among_equals,,4
19fffcaf-5342-4f31-849e-cd23f06cb3df,S50_,6221048408427,86303,,alias_among_equals,,4
19fffcaf-5342-4f31-849e-cd23f06cb3df,S50_,6221155198662,174378,,alias_among_equals,,4
19fffcaf-5342-4f31-849e-cd23f06cb3df,S50_,6221155198679,174392,,alias_among_equals,,4
f024c13c-70e0-44db-90c5-d085fec895f4,OP25_6194007892202,6194007804670,172439,,alias_among_equals,,4
f024c13c-70e0-44db-90c5-d085fec895f4,OP25_6194007892202,6194007804823,173122,,alias_among_equals,,4
f024c13c-70e0-44db-90c5-d085fec895f4,OP25_6194007892202,6194007890161,171655,,alias_among_equals,,4
f024c13c-70e0-44db-90c5-d085fec895f4,OP25_6194007892202,6194007892202,519,,alias_among_equals,,4
3946ef41-5dc4-4e5d-abc3-d31f1d001e2f,FNS2L,6192026301620,411,,sole_known_code,,1
028d8fc8-cd26-4b5b-a8ab-d37bf03ad884,6192430015533CB,6192430015533,152253,,alias_among_equals,,2
028d8fc8-cd26-4b5b-a8ab-d37bf03ad884,6192430015533CB,6192430018398,152254,,alias_among_equals,,2
5d56c954-08d2-4762-a54b-d9131f9f6b75,6191368900058CB,6191368900058,174977,,sole_known_code,,1
e1b16295-12fb-43f7-bc41-d9e808f86588,6192466700922CB,6192466700922,170674,,sole_known_code,,1
3dab6101-83b4-4d64-a441-da68b820bec8,6191331600022CB,6191331600022,168159,,sole_known_code,,1
16cefdae-93ee-4274-8635-e10a062dc732,6194007840050CB,6194007840050,174501,,sole_known_code,,1
117eea46-d9fc-4d4d-8156-e303d0e1e70e,6192003850349CB,6192003850332,172813,CLASSIC,alias_among_equals,,3
117eea46-d9fc-4d4d-8156-e303d0e1e70e,6192003850349CB,6192003850349,172811,MARINE,alias_among_equals,,3
117eea46-d9fc-4d4d-8156-e303d0e1e70e,6192003850349CB,6192003850356,172812,FRUITE,alias_among_equals,,3
786ee07c-de60-49ef-b2c7-e37ffcda27e9,6194043001255CB,6194043001255,139126,,sole_known_code,,1
fb82de1c-d9fd-45f8-9a9c-e74f06072966,8412600028599CB,8412600028599,172963,,sole_known_code,,1
fb01380e-5817-45f9-a044-e8c404d0c956,6191401400019CB,6191401400019,171756,,sole_known_code,,1
8256e225-3c3f-4786-b775-e98eeaa08dd4,GM900_6194005296484,6194005296484,175573,,alias_among_equals,,2
8256e225-3c3f-4786-b775-e98eeaa08dd4,GM900_6194005296484,6194005296507,175574,,alias_among_equals,,2
31dcb36d-2828-4b2b-87dc-e99205acc057,6191307401783CB,6191307401783,168883,,sole_known_code,,1
8a944bd3-f2c4-4c32-a35b-eb1ef01815aa,6191415500743CB,6191415500019,175635,,alias_among_equals,,13
8a944bd3-f2c4-4c32-a35b-eb1ef01815aa,6191415500743CB,6191415500033,175634,,alias_among_equals,,13
8a944bd3-f2c4-4c32-a35b-eb1ef01815aa,6191415500743CB,6191415500057,175632,,alias_among_equals,,13
8a944bd3-f2c4-4c32-a35b-eb1ef01815aa,6191415500743CB,6191415500071,175630,,alias_among_equals,,13
8a944bd3-f2c4-4c32-a35b-eb1ef01815aa,6191415500743CB,6191415500095,175631,,alias_among_equals,,13
8a944bd3-f2c4-4c32-a35b-eb1ef01815aa,6191415500743CB,6191415500118,175633,,alias_among_equals,,13
8a944bd3-f2c4-4c32-a35b-eb1ef01815aa,6191415500743CB,6191415500132,175629,,alias_among_equals,,13
8a944bd3-f2c4-4c32-a35b-eb1ef01815aa,6191415500743CB,6191415500156,175636,,alias_among_equals,,13
8a944bd3-f2c4-4c32-a35b-eb1ef01815aa,6191415500743CB,6191415500347,175628,,alias_among_equals,,13
8a944bd3-f2c4-4c32-a35b-eb1ef01815aa,6191415500743CB,6191415500552,175637,,alias_among_equals,,13
8a944bd3-f2c4-4c32-a35b-eb1ef01815aa,6191415500743CB,6191415500729,175626,,alias_among_equals,,13
8a944bd3-f2c4-4c32-a35b-eb1ef01815aa,6191415500743CB,6191415500736,175627,,alias_among_equals,,13
8a944bd3-f2c4-4c32-a35b-eb1ef01815aa,6191415500743CB,6191415500743,175625,,alias_among_equals,,13
ec6a5d0f-247d-4c91-980c-f61991199d0b,8720181457302CB,8720181213847,174323,,alias_among_equals,,7
ec6a5d0f-247d-4c91-980c-f61991199d0b,8720181457302CB,8720181213854,174324,,alias_among_equals,,7
ec6a5d0f-247d-4c91-980c-f61991199d0b,8720181457302CB,8720181213991,174326,,alias_among_equals,,7
ec6a5d0f-247d-4c91-980c-f61991199d0b,8720181457302CB,8720181214004,174327,,alias_among_equals,,7
ec6a5d0f-247d-4c91-980c-f61991199d0b,8720181457302CB,8720181214011,174330,,alias_among_equals,,7
ec6a5d0f-247d-4c91-980c-f61991199d0b,8720181457302CB,8720181437793,174325,,alias_among_equals,,7
ec6a5d0f-247d-4c91-980c-f61991199d0b,8720181457302CB,8720181457302,174322,,alias_among_equals,,7
6e11bb8b-501e-4f95-9074-f9632e1dac8c,6194000803304CB,6194000803304,103820,,sole_known_code,,1
7e47e2e4-0444-46e4-9570-fc624843f819,6191489200181CB,6191489200181,145727,,sole_known_code,,1
